hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 300.00000, 240.166, -30.006, 240.15, -150.009, 240.162, 89.9949, 5.07652, 138.536, 8.64042, 18.5171, 4.01775, -101.504
0, 600.00000, 240.156, -30.0093, 240.142, -150.013, 240.137, 89.9875, 7.38073, 138.502, 12.6864, 18.5505, 11.6226, -101.514
0, 900.00000, 240.162, -30.0088, 240.133, -150.016, 240.138, 89.9885, 6.44133, 138.519, 15.7229, 18.5489, 10.2773, -101.536
0, 1200.00000, 240.158, -30.0097, 240.134, -150.015, 240.142, 89.9889, 7.71575, 138.52, 14.756, 18.5415, 9.77046, -101.529
0, 1500.00000, 240.153, -30.0102, 240.142, -150.012, 240.149, 89.9901, 8.86879, 138.521, 11.6969, 18.528, 8.60407, -101.511
0, 1800.00000, 240.152, -30.011, 240.135, -150.014, 240.148, 89.9898, 9.58187, 138.528, 13.5214, 18.5192, 8.55064, -101.512
0, 2100.00000, 240.15, -30.012, 240.132, -150.016, 240.139, 89.9874, 10.0827, 138.513, 15.3355, 18.5291, 11.0157, -101.511
0, 2400.00000, 240.148, -30.0134, 240.123, -150.019, 240.129, 89.9847, 10.904, 138.51, 18.6788, 18.541, 13.5362, -101.526
0, 2700.00000, 240.141, -30.0141, 240.134, -150.014, 240.153, 89.99, 13.26, 138.53, 12.8511, 18.5065, 7.94384, -101.504
0, 3000.00000, 240.143, -30.0133, 240.137, -150.014, 240.139, 89.9865, 11.7509, 138.507, 13.3346, 18.543, 12.0719, -101.515
0, 3300.00000, 240.15, -30.0112, 240.138, -150.014, 240.144, 89.9887, 9.69379, 138.521, 13.0953, 18.5323, 9.92578, -101.518
1, 0.00000, 240.153, -30.0109, 240.136, -150.015, 240.14, 89.9878, 9.03468, 138.521, 14.3012, 18.5369, 10.8835, -101.524
1, 300.00000, 240.16, -30.0094, 240.133, -150.015, 240.147, 89.9905, 7.5426, 138.546, 14.8828, 18.5249, 7.98539, -101.534
1, 600.00000, 240.16, -30.009, 240.137, -150.014, 240.143, 89.9894, 7.08592, 138.53, 13.9831, 18.5303, 9.35885, -101.522
1, 900.00000, 240.156, -30.0102, 240.135, -150.015, 240.141, 89.9885, 8.28634, 138.529, 14.5976, 18.5241, 10.1406, -101.516
1, 1200.00000, 240.177, -30.0125, 240.067, -150.035, 240.121, 89.9864, 7.61707, 138.706, 37.1491, 18.5753, 9.87515, -101.727
1, 1500.00000, 240.156, -30.0102, 240.134, -150.015, 240.143, 89.9889, 8.30249, 138.529, 14.5616, 18.5246, 9.64881, -101.517
1, 1800.00000, 240.154, -30.0111, 240.13, -150.016, 240.146, 89.9897, 9.42256, 138.539, 15.2999, 18.5128, 8.50042, -101.515
1, 2100.00000, 240.155, -30.0111, 240.129, -150.015, 240.151, 89.991, 9.62307, 138.552, 15.2361, 18.506, 6.96933, -101.52
1, 2400.00000, 240.152, -30.0128, 240.122, -150.017, 240.152, 89.9908, 11.2463, 138.562, 17.0853, 18.4977, 6.73091, -101.526
1, 2700.00000, 240.152, -30.0132, 240.117, -150.018, 240.151, 89.9907, 11.5239, 138.567, 18.4051, 18.4987, 6.66098, -101.539
1, 3000.00000, 240.151, -30.0137, 240.116, -150.019, 240.148, 89.9899, 11.9257, 138.564, 18.8824, 18.5064, 7.46626, -101.551
1, 3300.00000, 240.152, -30.0134, 240.116, -150.018, 240.152, 89.991, 11.7726, 138.572, 18.6535, 18.4982, 6.2981, -101.545
2, 0.00000, 240.152, -30.0123, 240.127, -150.015, 240.158, 89.9924, 11.2272, 138.561, 14.9361, 18.4922, 5.22557, -101.519
2, 300.00000, 240.151, -30.0103, 240.145, -150.01, 240.158, 89.9922, 9.58445, 138.526, 9.7679, 18.5024, 6.34705, -101.482
2, 600.00000, 240.156, -30.0091, 240.145, -150.011, 240.155, 89.9921, 8.03713, 138.527, 10.3228, 18.5105, 6.60293, -101.492
2, 900.00000, 240.156, -30.0092, 240.144, -150.011, 240.157, 89.9926, 8.2908, 138.532, 10.2419, 18.5059, 5.98922, -101.492
2, 1200.00000, 240.154, -30.0098, 240.143, -150.011, 240.154, 89.9917, 8.69767, 138.53, 10.9686, 18.5041, 6.88211, -101.487
2, 1500.00000, 240.156, -30.0094, 240.142, -150.012, 240.152, 89.9912, 8.19881, 138.53, 11.3194, 18.5084, 7.41278, -101.492
2, 1800.00000, 240.152, -30.0101, 240.145, -150.013, 240.138, 89.9871, 8.33961, 138.492, 11.7873, 18.5365, 12.083, -101.488
2, 2100.00000, 240.153, -30.0098, 240.145, -150.01, 240.158, 89.9924, 9.01505, 138.528, 9.88549, 18.4997, 6.09836, -101.48
2, 2400.00000, 240.155, -30.0092, 240.145, -150.01, 240.158, 89.9927, 8.36354, 138.529, 9.97893, 18.5038, 5.90229, -101.485
2, 2700.00000, 240.16, -30.0085, 240.141, -150.012, 240.157, 89.9931, 7.39635, 138.539, 11.5593, 18.5089, 5.34991, -101.502
2, 3000.00000, 240.156, -30.01, 240.138, -150.012, 240.159, 89.9931, 9.05292, 138.543, 11.8998, 18.4979, 5.14467, -101.492
2, 3300.00000, 240.152, -30.0112, 240.136, -150.012, 240.163, 89.9937, 10.4903, 138.552, 11.9625, 18.486, 4.17261, -101.487
3, 0.00000, 240.151, -30.0117, 240.135, -150.012, 240.164, 89.9938, 11.1024, 138.553, 12.1436, 18.4834, 4.0218, -101.489
3, 300.00000, 240.146, -30.0112, 240.15, -150.008, 240.167, 89.9938, 11.1504, 138.536, 7.25103, 18.4784, 4.5814, -101.469
3, 600.00000, 240.146, -30.0111, 240.151, -150.008, 240.167, 89.9939, 11.0903, 138.534, 6.70407, 18.4761, 4.49635, -101.464
3, 900.00000, 240.154, -30.0089, 240.152, -150.008, 240.163, 89.9936, 8.48309, 138.533, 7.38438, 18.4965, 5.17342, -101.482
3, 1200.00000, 240.158, -30.0075, 240.155, -150.008, 240.157, 89.9927, 6.65518, 138.522, 7.43871, 18.5165, 6.39588, -101.49
3, 1500.00000, 240.158, -30.0078, 240.152, -150.009, 240.158, 89.993, 7.02692, 138.529, 8.1391, 18.5137, 5.92594, -101.496
3, 1800.00000, 240.15, -30.0097, 240.152, -150.008, 240.16, 89.9925, 9.26154, 138.523, 7.45172, 18.4993, 6.30406, -101.477
3, 2100.00000, 240.147, -30.01, 240.158, -150.007, 240.161, 89.9922, 9.73933, 138.508, 5.40813, 18.4959, 6.77686, -101.456
3, 2400.00000, 240.149, -30.0099, 240.154, -150.008, 240.162, 89.9928, 9.6441, 138.521, 6.51383, 18.4936, 5.99492, -101.469
3, 2700.00000, 240.151, -30.0093, 240.155, -150.007, 240.163, 89.9933, 9.00807, 138.525, 6.51045, 18.4942, 5.49243, -101.473
3, 3000.00000, 240.154, -30.0086, 240.153, -150.008, 240.16, 89.9929, 8.07509, 138.409, 7.3307, 18.3842, 6.01225, -101.602
3, 3300.00000, 240.154, -30.009, 240.149, -150.01, 240.155, 89.9918, 8.10223, 138.073, 9.12712, 18.123, 7.13479, -101.883
4, 0.00000, 240.154, -30.0085, 240.151, -150.009, 240.157, 89.9925, 7.91954, 137.25, 8.05212, 17.3025, 6.48066, -102.642
4, 300.00000, 240.145, -30.0096, 240.157, -150.006, 240.164, 89.9937, 9.90055, 136.276, 4.91935, 14.1507, 5.43909, -104.463
4, 600.00000, 240.146, -30.0091, 240.156, -150.005, 240.166, 89.9948, 9.62154, 135.239, 4.78573, 12.1247, 4.31796, -106.85
4, 900.00000, 240.149, -30.008, 240.159, -150.004, 240.17, 89.9961, 8.69791, 134.861, 3.74393, 10.2847, 3.08162, -109.08
4, 1200.00000, 240.151, -30.0081, 240.155, -150.005, 240.171, 89.9965, 8.66396, 135.061, 4.95129, 12.6319, 2.44014, -110.572
4, 1500.00000, 240.161, -30.005, 240.159, -150.005, 240.168, 89.9969, 5.15504, 132.324, 4.71671, 11.9813, 2.53734, -110.783
4, 1800.00000, 240.162, -30.0045, 240.158, -150.004, 240.168, 89.9974, 4.78032, 129.669, 4.86378, 10.1328, 2.21055, -115.682
4, 2100.00000, 240.16, -30.0045, 240.158, -150.003, 240.171, 89.9983, 5.29152, 127.513, 4.12078, 4.84528, 1.53559, -130.466
4, 2400.00000, 240.162, -30.0038, 240.156, -150.004, 240.169, 89.9985, 4.58038, 123.831, 4.81204, 5.06307, 1.48605, -136.644
4, 2700.00000, 240.164, -30.0026, 240.159, -150.003, 240.171, 89.9993, 3.56665, 118.252, 3.80407, 0.279594, 1.08043, -158.881
4, 3000.00000, 240.162, -30.0026, 240.162, -150.002, 240.17, 89.9991, 3.82984, 117.39, 2.89621, -8.80514, 1.45283, -145.889
4, 3300.00000, 240.165, -30.0008, 240.166, -150, 240.171, 90, 2.46639, 99.691, 1.82463, -36.0829, 1.25764, -166.324
5, 0.00000, 240.17, -29.9997, 240.164, -150, 240.171, 90.0008, 1.82849, 72.2082, 2.44541, -22.6885, 1.25923, 156.71
5, 300.00000, 240.168, -29.9993, 240.169, -149.999, 240.173, 90.0012, 1.90402, 69.1452, 1.71694, -67.8748, 1.37736, 150.723
5, 600.00000, 240.173, -29.9977, 240.17, -149.998, 240.174, 90.0023, 2.12609, 22.3013, 1.85274, -79.6366, 1.88457, 126.651
5, 900.00000, 240.176, -29.9961, 240.173, -149.997, 240.177, 90.0037, 3.10106, 0.763522, 2.42865, -105.845, 2.8763, 110.744
5, 1200.00000, 240.178, -29.9944, 240.18, -149.994, 240.178, 90.0046, 4.30523, -8.86545, 4.38726, -130.892, 3.28883, 109.822
5, 1500.00000, 240.18, -29.9927, 240.183, -149.993, 240.177, 90.0053, 5.81655, -14.5282, 5.55952, -134.32, 3.63456, 110.818
5, 1800.00000, 240.186, -29.9882, 240.192, -149.988, 240.186, 90.0099, 9.24656, -18.7938, 9.73669, -140.829, 7.27174, 99.7028
5, 2100.00000, 240.204, -29.9784, 240.208, -149.979, 240.196, 90.0173, 17.6563, -24.7716, 16.5381, -144.255, 12.7326, 95.6093
5, 2400.00000, 240.206, -29.976, 240.211, -149.976, 240.203, 90.0204, 19.3677, -24.3878, 18.9085, -144.605, 15.4966, 94.2242
5, 2700.00000, 240.188, -29.984, 240.199, -149.981, 240.2, 90.016, 11.9392, -17.5896, 14.9585, -143.372, 12.4744, 95.1178
5, 3000.00000, 240.191, -29.9798, 240.21, -149.978, 240.188, 90.0151, 15.8829, -20.2913, 18.2331, -143.78, 10.349, 102.722
5, 3300.00000, 240.195, -29.9772, 240.211, -149.973, 240.214, 90.0235, 17.0091, -19.0968, 21.6873, -144.824, 18.694, 93.3253
6, 0.00000, 240.167, -29.9831, 240.211, -149.97, 240.225, 90.0244, 10.5577, 0.516038, 25.0209, -145.861, 20.1501, 93.5476
6, 300.00000, 240.185, -29.9654, 240.252, -149.95, 240.242, 90.0378, 24.1055, -15.0866, 42.6783, -147.602, 29.4225, 94.2134
6, 600.00000, 240.186, -29.9623, 240.257, -149.943, 240.27, 90.0469, 25.301, -13.6756, 48.1872, -148.026, 38.2846, 91.7818
6, 900.00000, 240.255, -29.9237, 240.324, -149.909, 240.307, 90.0755, 58.0028, -23.5896, 75.704, -148.438, 59.6274, 91.3964
6, 1200.00000, 240.259, -29.9328, 240.301, -149.926, 240.27, 90.0601, 53.3464, -25.8913, 60.6147, -148.265, 46.278, 91.8234
6, 1500.00000, 240.274, -29.9305, 240.301, -149.93, 240.255, 90.0565, 57.1643, -27.6099, 57.3036, -148.013, 42.3192, 92.4267
6, 1800.00000, 240.27, -29.9269, 240.316, -149.926, 240.225, 90.0507, 61.0926, -27.5443, 60.9739, -147.746, 34.549, 97.0958
6, 2100.00000, 240.213, -29.9516, 240.281, -149.943, 240.207, 90.0345, 38.3316, -23.2165, 48.3221, -147.457, 22.7009, 101.782
6, 2400.00000, 240.195, -29.9524, 240.292, -149.937, 240.217, 90.037, 35.9032, -20.0328, 54.8323, -148.081, 24.7653, 101.842
6, 2700.00000, 240.211, -29.9345, 240.329, -149.914, 240.253, 90.0561, 49.0691, -20.7244, 74.1346, -148.402, 39.9025, 97.5983
6, 3000.00000, 240.189, -29.9447, 240.308, -149.916, 240.297, 90.0636, 37.5775, -15.0918, 72.1566, -148.813, 50.3493, 92.9028
6, 3300.00000, 240.147, -29.9674, 240.267, -149.938, 240.261, 90.0434, 19.9873, 0.54742, 54.609, -148.086, 34.1273, 95.4999
7, 0.00000, 240.224, -29.9324, 240.314, -149.912, 240.299, 90.0701, 49.3885, -20.2269, 73.9533, -148.116, 55.1306, 92.5411
7, 300.00000, 240.253, -29.9147, 240.339, -149.897, 240.311, 90.0828, 64.5809, -22.375, 85.448, -147.745, 64.4171, 92.7041
7, 600.00000, 240.206, -29.9321, 240.301, -149.907, 240.314, 90.0775, 47.7109, -15.823, 76.8885, -146.71, 62.3281, 92.8173
7, 900.00000, 240.241, -29.9101, 240.349, -149.886, 240.327, 90.0911, 66.3702, -20.2865, 94.7554, -147.401, 71.1162, 93.1628
7, 1200.00000, 240.301, -29.8928, 240.321, -149.888, 240.324, 90.1015, 84.2778, -23.2437, 87.228, -144.559, 80.2187, 92.5244
7, 1500.00000, 240.308, -29.8794, 240.397, -149.868, 240.305, 90.0999, 96.192, -24.9229, 108.474, -147.161, 73.4787, 94.826
7, 1800.00000, 240.323, -29.8645, 240.433, -149.851, 240.309, 90.1086, 108.574, -25.2151, 123.108, -147.395, 78.3301, 95.6175
7, 2100.00000, 240.36, -29.8564, 240.439, -149.852, 240.311, 90.1115, 117.92, -26.9854, 121.562, -147.505, 80.5949, 94.5925
7, 2400.00000, 240.339, -29.8473, 240.49, -149.835, 240.268, 90.1055, 125.229, -26.1959, 139.262, -147.659, 69.6335, 99.8819
7, 2700.00000, 240.268, -29.8919, 240.4, -149.873, 240.28, 90.0868, 84.6812, -23.4452, 107.297, -147.652, 61.3184, 97.3867
7, 3000.00000, 240.041, -30.0118, 240.17, -149.968, 240.262, 90.0269, 30.832, 118.272, 29.4811, -141.582, 26.2864, 96.091
7, 3300.00000, 240.249, -29.9053, 240.309, -149.887, 240.347, 90.1036, 69.577, -18.3721, 89.8799, -144.688, 84.1795, 92.4827
8, 0.00000, 240.362, -29.8606, 240.389, -149.86, 240.343, 90.1208, 112.976, -25.9727, 111.123, -146.045, 92.8842, 92.5322
8, 300.00000, 240.363, -29.8549, 240.429, -149.856, 240.274, 90.104, 121.103, -27.09, 116.839, -146.45, 72.244, 96.9752
8, 600.00000, 240.402, -29.8464, 240.413, -149.853, 240.341, 90.126, 127.469, -27.5145, 116.456, -146.333, 95.5627, 92.4076
8, 900.00000, 240.333, -29.8663, 240.38, -149.858, 240.363, 90.125, 105.248, -24.0641, 113.322, -145.899, 98.1512, 92.275
